Size,Threshold,Time,Array Type
4500,50,2658.2,Reversed Array
4500,50,1814.4,Nearly Sorted Array
4600,5,4209.8,Random Array
4600,5,3837.5,Reversed Array
4600,5,4114.7,Nearly Sorted Array
4600,10,3175,Random Array
4600,10,2735.9,Reversed Array
4600,10,2833.4,Nearly Sorted Array
4600,15,3079.9,Random Array
4600,15,2708.9,Reversed Array
4600,15,2867.1,Nearly Sorted Array
4600,20,2579.1,Random Array
4600,20,2430.5,Reversed Array
4600,20,2217.1,Nearly Sorted Array
4600,30,2618.5,Random Array
4600,30,2497.1,Reversed Array
4600,30,2290.7,Nearly Sorted Array
4600,50,2415.4,Random Array
4600,50,2733.1,Reversed Array
4600,50,1877.8,Nearly Sorted Array
4700,5,4220.2,Random Array
4700,5,3867.3,Reversed Array
4700,5,3997,Nearly Sorted Array
4700,10,3185,Random Array
4700,10,2754.1,Reversed Array
4700,10,2786.1,Nearly Sorted Array
4700,15,3134,Random Array
4700,15,2802.7,Reversed Array
4700,15,3028.9,Nearly Sorted Array
4700,20,2650.1,Random Array
4700,20,2531.6,Reversed Array
4700,20,2144,Nearly Sorted Array
4700,30,2611.3,Random Array
4700,30,2526.1,Reversed Array
4700,30,2312.3,Nearly Sorted Array
4700,50,3239.4,Random Array
4700,50,3386.7,Reversed Array
4700,50,1865.2,Nearly Sorted Array
4800,5,4386.1,Random Array
4800,5,4000.6,Reversed Array
4800,5,3924.7,Nearly Sorted Array
4800,10,3132.8,Random Array
4800,10,2889.7,Reversed Array
4800,10,2899.7,Nearly Sorted Array
4800,15,3178.1,Random Array
4800,15,2796.8,Reversed Array
4800,15,2914.3,Nearly Sorted Array
4800,20,2793.9,Random Array
4800,20,2548.6,Reversed Array
4800,20,2247.2,Nearly Sorted Array
4800,30,2839.8,Random Array
4800,30,2613.6,Reversed Array
4800,30,2239,Nearly Sorted Array
4800,50,2573.1,Random Array
4800,50,2877.4,Reversed Array
4800,50,1915.3,Nearly Sorted Array
4900,5,4407,Random Array
4900,5,3828.9,Reversed Array
4900,5,3911.8,Nearly Sorted Array
4900,10,5748,Random Array
4900,10,3348,Reversed Array
4900,10,2814.3,Nearly Sorted Array
4900,15,3348.3,Random Array
4900,15,2993.2,Reversed Array
4900,15,2989.2,Nearly Sorted Array
4900,20,3460.1,Random Array
4900,20,2594.6,Reversed Array
4900,20,2317.6,Nearly Sorted Array
4900,30,2720.6,Random Array
4900,30,2575.2,Reversed Array
4900,30,2335.5,Nearly Sorted Array
4900,50,2635.9,Random Array
4900,50,3220.6,Reversed Array
4900,50,1943.6,Nearly Sorted Array
5000,5,4341.5,Random Array
5000,5,4176.3,Reversed Array
5000,5,3970,Nearly Sorted Array
5000,10,3260,Random Array
5000,10,3001.1,Reversed Array
5000,10,2945.6,Nearly Sorted Array
